SB_coef,awakening_time,paper_id,t0,dataName
0.0,0,0,0,Empirical
0.0,0,1,0,Empirical
0.0,0,2,0,Empirical
-0.47297297297297297,1,3,0,Empirical
0.0,0,4,0,Empirical
0.0,0,5,0,Empirical
0.0,0,6,0,Empirical
0.0,0,7,0,Empirical
-0.375,1,8,0,Empirical
0.0,0,9,0,Empirical
-0.4696969696969697,1,10,0,Empirical
0.0,0,11,0,Empirical
-0.2894736842105263,1,12,0,Empirical
0.0,0,13,0,Empirical
-0.4444444444444444,1,14,0,Empirical
-0.4074074074074074,1,15,0,Empirical
0.0,0,16,0,Empirical
0.0,0,17,0,Empirical
0.0,0,18,0,Empirical
0.0,0,19,0,Empirical
0.0,0,20,0,Empirical
-0.425,1,21,0,Empirical
-0.3269230769230769,1,22,0,Empirical
0.0,0,23,0,Empirical
0.0,0,24,0,Empirical
0.0,0,25,0,Empirical
-0.425,1,26,0,Empirical
0.0,0,27,0,Empirical
-0.39473684210526316,1,28,0,Empirical
0.0,0,29,0,Empirical
-0.40476190476190477,1,30,0,Empirical
0.0,0,31,0,Empirical
1.0,2,32,0,Empirical
0.0,0,33,0,Empirical
-0.375,1,34,0,Empirical
0.0,0,35,0,Empirical
0.0,0,36,0,Empirical
0.0,0,37,0,Empirical
0.0,0,38,0,Empirical
0.0,0,39,0,Empirical
-0.375,1,40,0,Empirical
0.0,0,41,0,Empirical
-0.4583333333333333,1,42,0,Empirical
0.0,0,43,0,Empirical
-0.425,1,44,0,Empirical
0.0,0,45,0,Empirical
0.0,0,46,0,Empirical
0.0,0,47,0,Empirical
0.0,0,48,0,Empirical
-0.9374999999999999,1,49,0,Empirical
0.0,0,50,0,Empirical
0.0,0,51,0,Empirical
0.0,0,52,0,Empirical
0.0,0,53,0,Empirical
0.0,0,54,0,Empirical
0.0,0,55,0,Empirical
0.0,0,56,0,Empirical
0.0,0,58,0,Empirical
0.0,0,59,0,Empirical
0.0,0,60,0,Empirical
0.0,0,61,0,Empirical
0.0,0,62,0,Empirical
0.0,0,63,0,Empirical
0.0,0,64,0,Empirical
-0.4523809523809524,1,65,0,Empirical
-0.9237472766884534,1,66,0,Empirical
-0.46,1,67,0,Empirical
0.0,0,68,0,Empirical
0.0,0,69,0,Empirical
-0.42,1,70,0,Empirical
0.0,0,71,0,Empirical
0.0,0,72,0,Empirical
-0.4,1,73,0,Empirical
0.0,0,74,0,Empirical
0.0,0,75,0,Empirical
0.0,0,76,0,Empirical
0.0,0,77,0,Empirical
-0.4861111111111111,1,78,0,Empirical
-0.9311111111111112,1,79,0,Empirical
-0.44594594594594594,1,80,0,Empirical
0.0,0,81,0,Empirical
0.0,0,82,0,Empirical
0.0,0,83,0,Empirical
-0.9332916406087137,1,84,0,Empirical
0.0,0,86,0,Empirical
0.0,0,87,0,Empirical
0.0,0,88,0,Empirical
0.0,0,89,0,Empirical
0.0,0,90,0,Empirical
-0.34375,1,91,0,Empirical
0.0,0,92,0,Empirical
0.0,0,93,0,Empirical
-0.8068326947637291,1,94,0,Empirical
0.0,0,95,0,Empirical
-0.4230769230769231,1,96,0,Empirical
0.0,0,97,0,Empirical
0.0,0,98,0,Empirical
-0.38461538461538464,1,99,0,Empirical
-0.3,2,100,1,Empirical
-0.2,1,101,1,Empirical
1.125,2,102,1,Empirical
5.0,1,103,1,Empirical
-1.0714285714285716,1,104,1,Empirical
2.0,1,105,1,Empirical
0.0,0,106,1,Empirical
0.9999999999999999,1,107,1,Empirical
0.5,1,108,1,Empirical
0.5,1,109,1,Empirical
0.6666666666666666,1,110,1,Empirical
-0.5925925925925926,2,111,1,Empirical
1.0,1,112,1,Empirical
-0.22222222222222232,2,113,1,Empirical
0.5,1,114,1,Empirical
0.0,0,115,1,Empirical
1.5,1,116,1,Empirical
2.0,2,117,1,Empirical
1.1666666666666665,2,118,1,Empirical
2.0,1,119,1,Empirical
3.0,1,120,1,Empirical
-0.3888888888888889,1,121,1,Empirical
0.6,1,122,1,Empirical
-0.6601307189542482,1,123,1,Empirical
0.046296296296296155,2,124,1,Empirical
-0.25,1,125,1,Empirical
2.5,1,126,1,Empirical
-0.05555555555555544,1,127,1,Empirical
3.0,2,128,1,Empirical
1.5,1,129,1,Empirical
0.5277777777777777,2,130,1,Empirical
-0.16666666666666666,1,131,1,Empirical
1.911111111111111,2,132,1,Empirical
2.5,1,133,1,Empirical
0.0,0,134,1,Empirical
0.6,1,135,1,Empirical
0.16666666666666666,1,136,1,Empirical
-0.07142857142857142,1,137,1,Empirical
1.0,1,138,1,Empirical
-0.3809523809523809,1,139,1,Empirical
0.0,0,140,1,Empirical
0.5904761904761904,2,142,1,Empirical
1.5,1,143,1,Empirical
-0.05555555555555547,1,144,1,Empirical
0.5,1,145,1,Empirical
0.0,0,146,1,Empirical
1.0119047619047619,2,147,1,Empirical
1.6666666666666667,2,148,1,Empirical
1.5,1,149,1,Empirical
0.26984126984126977,1,150,1,Empirical
0.0,0,151,1,Empirical
0.3,1,152,1,Empirical
0.5,1,153,1,Empirical
2.0,1,154,1,Empirical
3.0,2,155,1,Empirical
2.4285714285714284,1,156,1,Empirical
1.5,1,157,1,Empirical
1.0,1,158,1,Empirical
0.48809523809523797,2,159,1,Empirical
