new,accumulated,year,label,paper_id,dataName
0,282,2010,All,0,PA
0,135,2010,All,1,PA
0,171,2010,All,2,PA
0,228,2010,All,3,PA
0,200,2010,All,4,PA
0,224,2010,All,5,PA
0,284,2010,All,6,PA
0,222,2010,All,7,PA
0,233,2010,All,8,PA
0,210,2010,All,9,PA
0,321,2010,All,10,PA
0,248,2010,All,11,PA
0,354,2010,All,12,PA
0,138,2010,All,13,PA
0,220,2010,All,14,PA
0,340,2010,All,15,PA
0,230,2010,All,16,PA
0,162,2010,All,17,PA
0,163,2010,All,18,PA
0,262,2010,All,19,PA
0,91,2010,All,20,PA
0,186,2010,All,21,PA
0,347,2010,All,22,PA
0,208,2010,All,23,PA
0,216,2010,All,24,PA
0,243,2010,All,25,PA
0,199,2010,All,26,PA
0,285,2010,All,27,PA
0,302,2010,All,28,PA
0,225,2010,All,29,PA
0,265,2010,All,30,PA
0,192,2010,All,31,PA
0,168,2010,All,32,PA
0,190,2010,All,33,PA
0,279,2010,All,34,PA
0,231,2010,All,35,PA
0,382,2010,All,36,PA
0,226,2010,All,37,PA
0,335,2010,All,38,PA
0,165,2010,All,39,PA
0,228,2010,All,40,PA
0,131,2010,All,41,PA
0,183,2010,All,42,PA
0,230,2010,All,43,PA
0,189,2010,All,44,PA
0,153,2010,All,45,PA
0,173,2010,All,46,PA
0,293,2010,All,47,PA
0,228,2010,All,48,PA
0,250,2010,All,49,PA
0,253,2010,All,50,PA
0,142,2010,All,51,PA
0,279,2010,All,52,PA
0,276,2010,All,53,PA
0,202,2010,All,54,PA
0,200,2010,All,55,PA
0,345,2010,All,56,PA
0,322,2010,All,57,PA
0,178,2010,All,58,PA
0,242,2010,All,59,PA
0,255,2010,All,60,PA
0,237,2010,All,61,PA
0,259,2010,All,62,PA
0,218,2010,All,63,PA
0,201,2010,All,64,PA
0,179,2010,All,65,PA
0,221,2010,All,66,PA
0,238,2010,All,67,PA
0,218,2010,All,68,PA
0,249,2010,All,69,PA
0,185,2010,All,70,PA
0,153,2010,All,71,PA
0,205,2010,All,72,PA
0,277,2010,All,73,PA
0,217,2010,All,74,PA
0,209,2010,All,75,PA
0,172,2010,All,76,PA
0,158,2010,All,77,PA
0,148,2010,All,78,PA
0,257,2010,All,79,PA
0,173,2010,All,80,PA
0,211,2010,All,81,PA
0,153,2010,All,82,PA
0,260,2010,All,83,PA
0,231,2010,All,84,PA
0,181,2010,All,85,PA
0,209,2010,All,86,PA
0,190,2010,All,87,PA
0,287,2010,All,88,PA
0,159,2010,All,89,PA
0,240,2010,All,90,PA
0,322,2010,All,91,PA
0,189,2010,All,92,PA
0,212,2010,All,93,PA
0,275,2010,All,94,PA
0,232,2010,All,95,PA
0,219,2010,All,96,PA
0,272,2010,All,97,PA
0,177,2010,All,98,PA
0,178,2010,All,99,PA
0,140,2010,All,100,PA
0,207,2010,All,101,PA
0,191,2010,All,102,PA
0,176,2010,All,103,PA
0,246,2010,All,104,PA
0,263,2010,All,105,PA
0,225,2010,All,106,PA
0,206,2010,All,107,PA
0,174,2010,All,108,PA
0,216,2010,All,109,PA
0,272,2010,All,110,PA
0,234,2010,All,111,PA
0,229,2010,All,112,PA
0,172,2010,All,113,PA
0,195,2010,All,114,PA
0,190,2010,All,115,PA
0,268,2010,All,116,PA
0,199,2010,All,117,PA
0,146,2010,All,118,PA
0,174,2010,All,119,PA
0,145,2010,All,120,PA
0,165,2010,All,121,PA
0,252,2010,All,122,PA
0,163,2010,All,123,PA
0,208,2010,All,124,PA
0,210,2010,All,125,PA
0,240,2010,All,126,PA
0,277,2010,All,127,PA
0,196,2010,All,128,PA
0,309,2010,All,129,PA
0,122,2010,All,130,PA
0,271,2010,All,131,PA
0,157,2010,All,132,PA
0,236,2010,All,133,PA
0,98,2010,All,134,PA
0,198,2010,All,135,PA
0,159,2010,All,136,PA
0,244,2010,All,137,PA
0,167,2010,All,138,PA
0,214,2010,All,139,PA
0,171,2010,All,140,PA
0,272,2010,All,141,PA
0,262,2010,All,142,PA
0,202,2010,All,143,PA
0,151,2010,All,144,PA
0,234,2010,All,145,PA
0,212,2010,All,146,PA
0,211,2010,All,147,PA
0,156,2010,All,148,PA
0,200,2010,All,149,PA
0,256,2010,All,150,PA
0,197,2010,All,151,PA
0,185,2010,All,152,PA
0,232,2010,All,153,PA
0,225,2010,All,154,PA
0,196,2010,All,155,PA
0,246,2010,All,156,PA
0,241,2010,All,157,PA
0,182,2010,All,158,PA
0,291,2010,All,159,PA
0,211,2010,All,160,PA
0,231,2010,All,161,PA
0,187,2010,All,162,PA
0,279,2010,All,163,PA
0,242,2010,All,164,PA
0,236,2010,All,165,PA
0,152,2010,All,166,PA
0,264,2010,All,167,PA
0,325,2010,All,168,PA
0,232,2010,All,169,PA
0,231,2010,All,170,PA
0,230,2010,All,171,PA
0,204,2010,All,172,PA
0,148,2010,All,173,PA
0,261,2010,All,174,PA
0,143,2010,All,175,PA
0,154,2010,All,176,PA
0,212,2010,All,177,PA
0,205,2010,All,178,PA
0,146,2010,All,179,PA
0,230,2010,All,180,PA
0,245,2010,All,181,PA
0,223,2010,All,182,PA
0,179,2010,All,183,PA
0,201,2010,All,184,PA
0,233,2010,All,185,PA
0,178,2010,All,186,PA
0,163,2010,All,187,PA
0,159,2010,All,188,PA
0,144,2010,All,189,PA
0,228,2010,All,190,PA
0,277,2010,All,191,PA
0,156,2010,All,192,PA
0,282,2010,All,193,PA
0,162,2010,All,194,PA
0,159,2010,All,195,PA
0,188,2010,All,196,PA
0,221,2010,All,197,PA
0,181,2010,All,198,PA
0,288,2010,All,199,PA
0,201,2010,All,200,PA
0,203,2010,All,201,PA
0,156,2010,All,202,PA
0,131,2010,All,203,PA
0,189,2010,All,204,PA
0,137,2010,All,205,PA
0,137,2010,All,206,PA
0,168,2010,All,207,PA
0,176,2010,All,208,PA
0,161,2010,All,209,PA
0,193,2010,All,210,PA
0,163,2010,All,211,PA
0,73,2010,All,212,PA
0,158,2010,All,213,PA
0,180,2010,All,214,PA
0,136,2010,All,215,PA
0,132,2010,All,216,PA
0,155,2010,All,217,PA
