age,n,group
35,79,bottom
36,79,bottom
37,79,bottom
38,79,bottom
39,79,bottom
40,79,bottom
41,79,bottom
42,79,bottom
43,79,bottom
44,79,bottom
45,79,bottom
46,79,bottom
47,79,bottom
48,79,bottom
49,79,bottom
50,79,bottom
0,4,middle
1,7,middle
2,14,middle
3,16,middle
4,26,middle
5,27,middle
6,28,middle
7,34,middle
8,40,middle
9,43,middle
10,47,middle
11,50,middle
12,55,middle
13,56,middle
14,58,middle
15,66,middle
16,77,middle
17,82,middle
18,88,middle
19,95,middle
20,107,middle
21,111,middle
22,120,middle
23,139,middle
24,147,middle
25,153,middle
26,154,middle
27,158,middle
28,164,middle
29,165,middle
30,167,middle
31,167,middle
32,167,middle
33,167,middle
34,167,middle
35,167,middle
36,167,middle
37,167,middle
38,167,middle
39,167,middle
40,167,middle
41,167,middle
42,167,middle
43,167,middle
44,167,middle
45,167,middle
46,167,middle
47,167,middle
48,167,middle
49,167,middle
50,167,middle
0,1,bottom
1,2,bottom
2,2,bottom
3,2,bottom
4,2,bottom
5,2,bottom
6,2,bottom
7,2,bottom
8,2,bottom
9,2,bottom
10,2,bottom
11,2,bottom
12,5,bottom
13,5,bottom
14,8,bottom
15,9,bottom
16,9,bottom
17,9,bottom
18,9,bottom
19,13,bottom
20,16,bottom
21,17,bottom
22,18,bottom
23,24,bottom
24,29,bottom
25,32,bottom
26,34,bottom
27,35,bottom
28,39,bottom
29,39,bottom
30,43,bottom
31,45,bottom
32,47,bottom
33,47,bottom
34,47,bottom
35,47,bottom
36,47,bottom
37,47,bottom
38,47,bottom
39,48,bottom
40,50,bottom
41,50,bottom
42,50,bottom
43,50,bottom
44,50,bottom
45,50,bottom
46,50,bottom
47,50,bottom
48,50,bottom
49,50,bottom
50,50,bottom
0,7,middle
1,17,middle
2,22,middle
3,41,middle
4,49,middle
5,74,middle
6,100,middle
7,110,middle
8,127,middle
9,140,middle
10,149,middle
11,153,middle
12,162,middle
13,163,middle
14,165,middle
15,168,middle
16,176,middle
17,178,middle
18,179,middle
19,179,middle
20,182,middle
21,188,middle
22,198,middle
23,201,middle
24,211,middle
25,214,middle
26,227,middle
27,239,middle
28,248,middle
29,251,middle
30,253,middle
31,253,middle
32,253,middle
33,253,middle
34,253,middle
35,253,middle
36,253,middle
37,253,middle
38,253,middle
39,253,middle
40,253,middle
41,253,middle
42,253,middle
43,253,middle
44,253,middle
45,253,middle
46,253,middle
47,253,middle
48,253,middle
49,253,middle
50,253,middle
0,7,middle
1,13,middle
2,15,middle
3,22,middle
4,26,middle
5,32,middle
6,40,middle
7,48,middle
8,57,middle
9,72,middle
10,83,middle
11,93,middle
12,102,middle
13,107,middle
14,113,middle
15,121,middle
16,125,middle
17,126,middle
18,128,middle
19,132,middle
20,133,middle
21,136,middle
22,146,middle
23,151,middle
24,156,middle
25,160,middle
26,164,middle
27,166,middle
28,168,middle
29,168,middle
30,168,middle
31,168,middle
32,168,middle
33,168,middle
34,168,middle
35,168,middle
36,168,middle
37,168,middle
38,168,middle
39,168,middle
40,168,middle
41,168,middle
42,168,middle
43,168,middle
44,168,middle
45,168,middle
46,168,middle
47,168,middle
48,168,middle
49,168,middle
50,168,middle
0,6,middle
1,17,middle
2,23,middle
3,32,middle
4,41,middle
5,49,middle
6,58,middle
7,60,middle
8,68,middle
9,70,middle
10,71,middle
11,78,middle
12,80,middle
13,86,middle
14,91,middle
15,93,middle
16,93,middle
17,93,middle
18,93,middle
19,93,middle
20,93,middle
21,93,middle
22,93,middle
23,93,middle
24,93,middle
25,93,middle
26,93,middle
27,93,middle
28,93,middle
29,93,middle
30,93,middle
31,93,middle
32,93,middle
33,93,middle
34,93,middle
35,93,middle
36,93,middle
37,93,middle
38,93,middle
39,93,middle
40,93,middle
41,93,middle
42,93,middle
43,93,middle
44,93,middle
45,93,middle
46,93,middle
47,93,middle
48,93,middle
49,93,middle
50,93,middle
0,1,bottom
1,7,bottom
2,7,bottom
3,9,bottom
4,14,bottom
5,17,bottom
6,21,bottom
7,25,bottom
8,29,bottom
9,32,bottom
10,32,bottom
11,35,bottom
12,36,bottom
13,36,bottom
14,36,bottom
15,36,bottom
16,36,bottom
17,36,bottom
18,36,bottom
19,36,bottom
20,36,bottom
21,36,bottom
22,36,bottom
23,36,bottom
24,36,bottom
25,36,bottom
26,36,bottom
27,36,bottom
28,36,bottom
29,36,bottom
30,36,bottom
31,36,bottom
32,36,bottom
33,36,bottom
34,36,bottom
35,36,bottom
36,36,bottom
37,36,bottom
38,36,bottom
39,36,bottom
40,36,bottom
41,36,bottom
42,36,bottom
43,36,bottom
44,36,bottom
45,36,bottom
46,36,bottom
47,36,bottom
48,36,bottom
49,36,bottom
50,36,bottom
0,2,middle
1,43,middle
2,75,middle
3,92,middle
4,110,middle
5,125,middle
6,139,middle
7,158,middle
8,175,middle
9,185,middle
10,200,middle
11,211,middle
12,225,middle
13,231,middle
14,246,middle
15,257,middle
16,267,middle
17,276,middle
18,285,middle
19,300,middle
20,308,middle
21,320,middle
22,326,middle
23,332,middle
24,344,middle
25,350,middle
26,353,middle
27,363,middle
28,374,middle
29,379,middle
30,387,middle
31,400,middle
32,409,middle
33,425,middle
34,434,middle
35,454,middle
36,465,middle
37,478,middle
38,478,middle
39,478,middle
40,478,middle
41,478,middle
42,478,middle
43,478,middle
44,478,middle
45,478,middle
46,478,middle
47,478,middle
48,478,middle
49,478,middle
50,478,middle
0,6,bottom
1,12,bottom
2,15,bottom
3,17,bottom
4,19,bottom
5,24,bottom
6,27,bottom
7,30,bottom
8,34,bottom
9,39,bottom
10,43,bottom
11,46,bottom
12,48,bottom
13,50,bottom
14,73,bottom
15,86,bottom
16,102,bottom
17,102,bottom
18,104,bottom
19,110,bottom
20,111,bottom
21,117,bottom
22,120,bottom
23,126,bottom
24,131,bottom
25,138,bottom
26,141,bottom
27,167,bottom
28,173,bottom
29,179,bottom
30,183,bottom
31,183,bottom
32,183,bottom
33,183,bottom
34,183,bottom
35,183,bottom
36,183,bottom
37,183,bottom
38,183,bottom
39,183,bottom
40,183,bottom
41,183,bottom
42,183,bottom
43,183,bottom
44,183,bottom
45,183,bottom
46,183,bottom
47,183,bottom
48,183,bottom
49,183,bottom
50,183,bottom
0,4,middle
1,13,middle
2,22,middle
3,31,middle
4,36,middle
5,39,middle
6,41,middle
7,47,middle
8,57,middle
9,72,middle
10,79,middle
11,88,middle
12,97,middle
13,110,middle
14,125,middle
15,136,middle
16,147,middle
17,155,middle
18,164,middle
19,179,middle
20,187,middle
21,192,middle
22,204,middle
23,206,middle
24,216,middle
25,218,middle
26,218,middle
27,218,middle
28,218,middle
29,218,middle
30,218,middle
31,218,middle
32,218,middle
33,218,middle
34,218,middle
35,218,middle
36,218,middle
37,218,middle
38,218,middle
39,218,middle
40,218,middle
41,218,middle
42,218,middle
43,218,middle
44,218,middle
45,218,middle
46,218,middle
47,218,middle
48,218,middle
49,218,middle
50,218,middle
0,2,middle
1,22,middle
2,40,middle
3,54,middle
4,65,middle
5,73,middle
6,78,middle
7,84,middle
8,86,middle
9,88,middle
10,93,middle
11,94,middle
12,97,middle
13,104,middle
14,107,middle
15,113,middle
16,115,middle
17,118,middle
18,122,middle
19,126,middle
20,132,middle
21,157,middle
22,176,middle
23,185,middle
24,199,middle
25,203,middle
26,208,middle
27,212,middle
28,212,middle
29,212,middle
30,212,middle
31,212,middle
32,212,middle
33,212,middle
34,212,middle
35,212,middle
36,212,middle
37,212,middle
38,212,middle
39,212,middle
40,212,middle
41,212,middle
42,212,middle
43,212,middle
44,212,middle
45,212,middle
46,212,middle
47,212,middle
48,212,middle
49,212,middle
50,212,middle
0,2,bottom
1,6,bottom
2,14,bottom
3,20,bottom
4,31,bottom
5,46,bottom
6,53,bottom
7,59,bottom
8,69,bottom
9,82,bottom
10,93,bottom
11,101,bottom
12,103,bottom
13,107,bottom
14,112,bottom
15,114,bottom
16,118,bottom
17,118,bottom
18,122,bottom
19,126,bottom
20,126,bottom
21,131,bottom
22,137,bottom
23,138,bottom
24,140,bottom
25,142,bottom
26,145,bottom
27,148,bottom
28,152,bottom
29,154,bottom
30,154,bottom
31,154,bottom
32,154,bottom
33,154,bottom
34,154,bottom
35,154,bottom
36,154,bottom
37,154,bottom
38,154,bottom
39,154,bottom
40,154,bottom
41,154,bottom
42,154,bottom
43,154,bottom
44,154,bottom
45,154,bottom
46,154,bottom
47,154,bottom
48,154,bottom
49,154,bottom
50,154,bottom
0,30,middle
1,61,middle
2,93,middle
3,115,middle
4,135,middle
5,157,middle
6,177,middle
7,193,middle
8,209,middle
9,218,middle
10,235,middle
11,258,middle
12,268,middle
13,277,middle
14,291,middle
15,321,middle
16,345,middle
17,359,middle
18,368,middle
19,379,middle
20,382,middle
21,389,middle
22,391,middle
23,396,middle
24,398,middle
25,413,middle
26,415,middle
27,415,middle
28,417,middle
29,423,middle
30,424,middle
31,425,middle
32,426,middle
33,428,middle
34,428,middle
35,428,middle
36,428,middle
37,428,middle
38,428,middle
39,428,middle
40,428,middle
41,428,middle
42,428,middle
43,428,middle
44,428,middle
45,428,middle
46,428,middle
47,428,middle
48,428,middle
49,428,middle
50,428,middle
0,2,bottom
1,6,bottom
2,8,bottom
3,11,bottom
4,12,bottom
5,13,bottom
6,15,bottom
7,17,bottom
8,19,bottom
9,20,bottom
10,21,bottom
11,21,bottom
12,21,bottom
13,21,bottom
14,21,bottom
15,21,bottom
16,21,bottom
17,24,bottom
18,38,bottom
19,45,bottom
20,51,bottom
21,56,bottom
22,60,bottom
23,62,bottom
24,62,bottom
25,62,bottom
26,62,bottom
27,62,bottom
28,62,bottom
29,62,bottom
30,62,bottom
31,62,bottom
32,62,bottom
33,62,bottom
34,62,bottom
35,62,bottom
36,62,bottom
37,62,bottom
38,62,bottom
39,62,bottom
40,62,bottom
41,62,bottom
42,62,bottom
43,62,bottom
44,62,bottom
45,62,bottom
46,62,bottom
47,62,bottom
48,62,bottom
49,62,bottom
50,62,bottom
0,1,bottom
1,3,bottom
2,4,bottom
3,9,bottom
4,11,bottom
5,17,bottom
6,20,bottom
7,22,bottom
8,29,bottom
9,32,bottom
10,37,bottom
11,47,bottom
12,60,bottom
13,64,bottom
14,65,bottom
15,67,bottom
16,71,bottom
17,72,bottom
18,74,bottom
19,79,bottom
20,80,bottom
21,83,bottom
22,88,bottom
23,90,bottom
24,90,bottom
25,90,bottom
26,91,bottom
27,93,bottom
28,97,bottom
29,97,bottom
30,97,bottom
31,97,bottom
32,97,bottom
33,98,bottom
34,98,bottom
35,98,bottom
36,98,bottom
37,98,bottom
38,98,bottom
39,98,bottom
40,98,bottom
41,98,bottom
42,98,bottom
43,98,bottom
44,98,bottom
45,98,bottom
46,98,bottom
47,98,bottom
48,98,bottom
49,98,bottom
50,98,bottom
0,7,middle
1,27,middle
2,41,middle
3,50,middle
4,57,middle
5,66,middle
6,79,middle
7,104,middle
8,120,middle
9,132,middle
10,148,middle
11,158,middle
12,162,middle
13,166,middle
14,173,middle
15,177,middle
16,222,middle
17,262,middle
18,286,middle
19,345,middle
20,391,middle
21,430,middle
22,467,middle
23,477,middle
24,479,middle
25,479,middle
26,480,middle
27,484,middle
28,492,middle
29,496,middle
30,500,middle
31,506,middle
32,510,middle
33,511,middle
34,512,middle
35,514,middle
36,514,middle
37,515,middle
38,518,middle
39,518,middle
40,518,middle
41,518,middle
42,518,middle
43,518,middle
44,518,middle
45,518,middle
46,518,middle
47,518,middle
48,518,middle
49,518,middle
50,518,middle
0,14,middle
1,30,middle
2,59,middle
3,79,middle
4,97,middle
5,116,middle
6,142,middle
7,158,middle
8,173,middle
9,189,middle
10,206,middle
11,223,middle
12,235,middle
13,254,middle
14,279,middle
15,293,middle
16,306,middle
17,326,middle
18,339,middle
19,353,middle
20,375,middle
21,383,middle
22,402,middle
23,411,middle
24,415,middle
25,415,middle
26,415,middle
27,415,middle
28,415,middle
29,415,middle
30,415,middle
31,415,middle
32,415,middle
33,416,middle
34,416,middle
35,416,middle
36,416,middle
37,416,middle
38,416,middle
39,416,middle
40,416,middle
41,416,middle
42,416,middle
43,416,middle
44,416,middle
45,416,middle
46,416,middle
47,416,middle
48,416,middle
49,416,middle
50,416,middle
0,19,middle
1,38,middle
2,66,middle
3,84,middle
4,85,middle
5,85,middle
6,87,middle
7,88,middle
8,90,middle
9,91,middle
10,97,middle
11,103,middle
12,130,middle
13,158,middle
14,185,middle
15,219,middle
16,261,middle
17,300,middle
18,337,middle
19,370,middle
20,421,middle
21,471,middle
22,512,middle
23,550,middle
24,582,middle
25,607,middle
26,631,middle
27,640,middle
28,644,middle
29,644,middle
30,644,middle
31,644,middle
32,644,middle
33,644,middle
34,644,middle
35,644,middle
36,644,middle
37,645,middle
38,648,middle
39,648,middle
40,648,middle
41,648,middle
42,648,middle
43,648,middle
44,648,middle
45,648,middle
46,649,middle
47,649,middle
48,649,middle
49,649,middle
50,649,middle
0,4,middle
1,35,middle
2,63,middle
3,94,middle
4,123,middle
5,146,middle
6,177,middle
7,212,middle
8,257,middle
9,308,middle
10,343,middle
11,369,middle
12,408,middle
13,443,middle
14,474,middle
15,497,middle
16,526,middle
17,565,middle
18,598,middle
19,617,middle
20,644,middle
21,674,middle
22,691,middle
23,700,middle
24,706,middle
25,711,middle
26,711,middle
27,711,middle
28,711,middle
29,711,middle
30,711,middle
31,711,middle
32,711,middle
33,711,middle
34,711,middle
35,711,middle
36,711,middle
37,711,middle
38,711,middle
39,712,middle
40,712,middle
41,712,middle
42,712,middle
43,712,middle
44,712,middle
45,712,middle
46,712,middle
47,712,middle
48,712,middle
49,712,middle
50,712,middle
0,13,middle
1,81,middle
2,143,middle
3,213,middle
4,277,middle
5,329,middle
6,377,middle
7,430,middle
8,481,middle
9,527,middle
10,578,middle
11,629,middle
12,661,middle
13,704,middle
14,733,middle
15,776,middle
16,805,middle
17,826,middle
18,843,middle
19,867,middle
20,892,middle
21,913,middle
22,926,middle
23,943,middle
24,961,middle
25,977,middle
26,979,middle
27,979,middle
28,979,middle
29,979,middle
30,980,middle
31,980,middle
32,980,middle
33,980,middle
34,980,middle
35,980,middle
36,981,middle
37,981,middle
38,981,middle
39,981,middle
40,981,middle
41,981,middle
42,981,middle
43,981,middle
44,981,middle
45,982,middle
46,982,middle
47,982,middle
48,982,middle
49,982,middle
50,982,middle
0,2,middle
1,29,middle
2,67,middle
3,105,middle
4,130,middle
5,163,middle
6,203,middle
7,236,middle
8,271,middle
9,321,middle
10,366,middle
11,410,middle
12,448,middle
13,486,middle
14,506,middle
15,539,middle
16,554,middle
17,571,middle
18,595,middle
19,614,middle
20,631,middle
21,651,middle
22,668,middle
23,686,middle
24,698,middle
25,709,middle
26,709,middle
27,709,middle
28,709,middle
29,709,middle
30,709,middle
31,709,middle
32,709,middle
33,709,middle
34,709,middle
35,710,middle
36,710,middle
37,710,middle
38,710,middle
39,710,middle
40,710,middle
41,710,middle
42,710,middle
43,710,middle
44,710,middle
45,710,middle
46,710,middle
47,710,middle
48,710,middle
49,710,middle
50,710,middle
0,20,middle
1,48,middle
2,72,middle
3,98,middle
4,118,middle
5,153,middle
6,185,middle
7,209,middle
8,244,middle
9,261,middle
10,288,middle
11,314,middle
12,336,middle
13,359,middle
14,377,middle
15,397,middle
16,429,middle
17,450,middle
18,472,middle
19,488,middle
20,516,middle
21,532,middle
22,540,middle
23,548,middle
24,554,middle
25,558,middle
26,560,middle
27,561,middle
28,562,middle
29,565,middle
30,567,middle
31,569,middle
32,570,middle
33,570,middle
34,570,middle
35,570,middle
36,570,middle
37,570,middle
38,570,middle
39,570,middle
40,570,middle
41,570,middle
42,570,middle
43,570,middle
44,570,middle
45,570,middle
46,570,middle
47,570,middle
48,570,middle
49,570,middle
50,570,middle
0,13,middle
1,29,middle
2,52,middle
3,74,middle
4,89,middle
5,107,middle
6,124,middle
7,150,middle
8,175,middle
9,192,middle
10,208,middle
11,226,middle
12,238,middle
13,246,middle
14,260,middle
15,264,middle
16,268,middle
17,270,middle
18,273,middle
19,277,middle
20,281,middle
21,288,middle
22,290,middle
23,294,middle
24,295,middle
25,295,middle
26,295,middle
27,295,middle
28,295,middle
29,295,middle
30,295,middle
31,295,middle
32,295,middle
33,295,middle
34,295,middle
35,295,middle
36,295,middle
37,295,middle
38,295,middle
39,295,middle
40,295,middle
41,295,middle
42,296,middle
43,296,middle
44,296,middle
45,296,middle
46,296,middle
47,296,middle
48,296,middle
49,296,middle
50,296,middle
0,3,middle
1,32,middle
2,62,middle
3,92,middle
4,111,middle
5,138,middle
6,159,middle
7,189,middle
8,209,middle
9,240,middle
10,272,middle
11,302,middle
12,335,middle
13,360,middle
14,385,middle
15,425,middle
16,450,middle
17,466,middle
18,478,middle
19,489,middle
20,501,middle
21,507,middle
22,516,middle
23,524,middle
24,535,middle
25,540,middle
26,543,middle
27,544,middle
28,545,middle
29,545,middle
30,545,middle
31,545,middle
32,545,middle
33,545,middle
34,545,middle
35,545,middle
36,545,middle
37,545,middle
38,545,middle
39,545,middle
40,547,middle
41,548,middle
42,548,middle
43,549,middle
44,549,middle
45,549,middle
46,549,middle
47,549,middle
48,549,middle
49,549,middle
50,549,middle
0,5,middle
1,6,middle
2,25,middle
3,40,middle
4,50,middle
5,58,middle
6,65,middle
7,71,middle
8,75,middle
9,77,middle
10,80,middle
11,96,middle
12,109,middle
13,122,middle
14,135,middle
15,138,middle
16,144,middle
17,150,middle
18,163,middle
19,171,middle
20,173,middle
21,186,middle
22,189,middle
23,205,middle
24,207,middle
25,211,middle
26,211,middle
27,211,middle
28,211,middle
29,211,middle
30,211,middle
31,211,middle
32,211,middle
33,211,middle
34,211,middle
35,211,middle
36,211,middle
37,211,middle
38,211,middle
39,211,middle
40,211,middle
41,211,middle
42,211,middle
43,211,middle
44,211,middle
45,211,middle
46,211,middle
47,211,middle
48,211,middle
49,211,middle
50,211,middle
0,5,bottom
1,7,bottom
2,20,bottom
3,30,bottom
4,40,bottom
5,47,bottom
6,48,bottom
7,53,bottom
8,56,bottom
9,57,bottom
10,60,bottom
11,61,bottom
12,77,bottom
13,77,bottom
14,79,bottom
15,81,bottom
16,81,bottom
17,81,bottom
18,81,bottom
19,81,bottom
20,83,bottom
21,85,bottom
22,85,bottom
23,85,bottom
24,85,bottom
25,85,bottom
26,85,bottom
27,85,bottom
28,85,bottom
29,85,bottom
30,85,bottom
31,85,bottom
32,85,bottom
33,85,bottom
34,85,bottom
35,85,bottom
36,85,bottom
37,85,bottom
38,85,bottom
39,85,bottom
40,85,bottom
41,85,bottom
42,85,bottom
43,85,bottom
44,85,bottom
45,85,bottom
46,85,bottom
47,85,bottom
48,85,bottom
49,85,bottom
50,85,bottom
0,4,middle
1,15,middle
2,21,middle
3,26,middle
4,31,middle
5,43,middle
6,52,middle
7,61,middle
8,75,middle
9,81,middle
10,95,middle
11,113,middle
12,125,middle
13,132,middle
14,137,middle
15,137,middle
16,146,middle
17,149,middle
18,150,middle
19,150,middle
20,150,middle
21,150,middle
22,150,middle
23,150,middle
24,150,middle
25,150,middle
26,150,middle
27,150,middle
28,150,middle
29,150,middle
30,150,middle
31,150,middle
32,150,middle
33,150,middle
34,150,middle
35,150,middle
36,150,middle
37,150,middle
38,150,middle
39,150,middle
40,150,middle
41,150,middle
42,150,middle
43,150,middle
44,150,middle
45,150,middle
46,150,middle
47,150,middle
48,150,middle
49,150,middle
50,150,middle
0,18,middle
1,34,middle
2,44,middle
3,59,middle
4,65,middle
5,79,middle
6,97,middle
7,107,middle
8,114,middle
9,128,middle
10,145,middle
11,156,middle
12,165,middle
13,174,middle
14,184,middle
15,190,middle
16,197,middle
17,198,middle
18,198,middle
19,198,middle
20,198,middle
21,198,middle
22,198,middle
23,198,middle
24,198,middle
25,199,middle
26,199,middle
27,199,middle
28,199,middle
29,199,middle
30,199,middle
31,199,middle
32,199,middle
33,199,middle
34,199,middle
35,199,middle
36,199,middle
37,199,middle
38,199,middle
39,199,middle
40,199,middle
41,199,middle
42,199,middle
43,199,middle
44,199,middle
45,199,middle
46,199,middle
47,199,middle
48,199,middle
49,199,middle
50,199,middle
0,6,bottom
1,21,bottom
2,34,bottom
3,50,bottom
4,63,bottom
5,73,bottom
6,79,bottom
7,84,bottom
8,91,bottom
9,95,bottom
10,97,bottom
11,101,bottom
12,102,bottom
13,103,bottom
14,104,bottom
15,104,bottom
16,105,bottom
17,105,bottom
18,105,bottom
19,105,bottom
20,105,bottom
21,105,bottom
22,109,bottom
23,114,bottom
24,116,bottom
25,116,bottom
26,116,bottom
27,117,bottom
28,117,bottom
29,117,bottom
30,117,bottom
31,117,bottom
32,117,bottom
33,117,bottom
34,117,bottom
35,117,bottom
36,117,bottom
37,117,bottom
38,117,bottom
39,117,bottom
40,117,bottom
41,117,bottom
42,117,bottom
43,117,bottom
44,117,bottom
45,117,bottom
46,117,bottom
47,117,bottom
48,117,bottom
49,117,bottom
50,117,bottom
0,3,bottom
1,5,bottom
2,12,bottom
3,14,bottom
4,17,bottom
5,18,bottom
6,19,bottom
7,21,bottom
8,21,bottom
9,24,bottom
10,28,bottom
11,38,bottom
12,40,bottom
13,42,bottom
14,42,bottom
15,42,bottom
16,42,bottom
17,42,bottom
18,42,bottom
19,42,bottom
20,42,bottom
21,42,bottom
22,42,bottom
23,42,bottom
24,42,bottom
25,42,bottom
26,42,bottom
27,42,bottom
28,42,bottom
29,42,bottom
30,42,bottom
31,42,bottom
32,42,bottom
33,42,bottom
34,42,bottom
35,42,bottom
36,42,bottom
37,42,bottom
38,42,bottom
39,42,bottom
40,42,bottom
41,42,bottom
42,42,bottom
43,42,bottom
44,42,bottom
45,42,bottom
46,42,bottom
47,42,bottom
48,42,bottom
49,42,bottom
50,42,bottom
0,4,middle
1,17,middle
2,28,middle
3,43,middle
4,54,middle
5,64,middle
6,79,middle
7,87,middle
8,92,middle
9,99,middle
10,102,middle
11,111,middle
12,119,middle
13,122,middle
14,129,middle
15,132,middle
16,132,middle
17,132,middle
18,132,middle
19,132,middle
20,132,middle
21,132,middle
22,132,middle
23,132,middle
24,132,middle
25,132,middle
26,132,middle
27,132,middle
28,132,middle
29,132,middle
30,132,middle
31,132,middle
32,132,middle
33,132,middle
34,132,middle
35,132,middle
36,132,middle
37,132,middle
38,132,middle
39,132,middle
40,132,middle
41,132,middle
42,132,middle
43,132,middle
44,132,middle
45,132,middle
46,132,middle
47,132,middle
48,132,middle
49,132,middle
50,132,middle
0,4,bottom
1,9,bottom
2,12,bottom
3,17,bottom
4,21,bottom
5,24,bottom
6,29,bottom
7,35,bottom
8,44,bottom
9,51,bottom
10,56,bottom
11,59,bottom
12,66,bottom
13,78,bottom
14,92,bottom
15,98,bottom
16,104,bottom
17,107,bottom
18,108,bottom
19,113,bottom
20,114,bottom
21,114,bottom
22,114,bottom
23,117,bottom
24,118,bottom
25,119,bottom
26,121,bottom
27,122,bottom
28,123,bottom
29,123,bottom
30,124,bottom
31,124,bottom
32,128,bottom
33,129,bottom
34,129,bottom
35,129,bottom
36,129,bottom
37,129,bottom
38,129,bottom
39,129,bottom
40,129,bottom
41,129,bottom
42,129,bottom
43,129,bottom
44,129,bottom
45,129,bottom
46,129,bottom
47,129,bottom
48,129,bottom
49,129,bottom
50,129,bottom
0,8,middle
1,23,middle
2,43,middle
3,55,middle
4,60,middle
5,67,middle
6,71,middle
7,75,middle
8,81,middle
9,88,middle
10,96,middle
11,106,middle
12,117,middle
13,127,middle
14,141,middle
15,163,middle
16,176,middle
17,190,middle
18,219,middle
19,239,middle
20,256,middle
21,272,middle
22,286,middle
23,301,middle
24,306,middle
25,307,middle
26,307,middle
27,307,middle
28,307,middle
29,307,middle
30,307,middle
31,307,middle
32,307,middle
33,307,middle
34,307,middle
35,307,middle
36,307,middle
37,307,middle
38,307,middle
39,307,middle
40,307,middle
41,307,middle
42,307,middle
43,307,middle
44,307,middle
45,307,middle
46,307,middle
47,307,middle
48,307,middle
49,307,middle
50,307,middle
0,2,middle
1,8,middle
2,11,middle
3,16,middle
4,24,middle
5,32,middle
6,36,middle
7,45,middle
8,47,middle
9,53,middle
10,56,middle
11,59,middle
12,64,middle
13,74,middle
14,87,middle
15,105,middle
16,115,middle
17,119,middle
18,119,middle
19,119,middle
20,119,middle
21,119,middle
22,119,middle
23,119,middle
24,119,middle
25,119,middle
26,119,middle
27,119,middle
28,119,middle
29,119,middle
30,119,middle
31,119,middle
32,119,middle
33,119,middle
34,119,middle
35,119,middle
36,119,middle
37,119,middle
38,119,middle
39,119,middle
40,119,middle
41,119,middle
42,119,middle
43,119,middle
44,119,middle
45,120,middle
46,122,middle
47,122,middle
48,122,middle
49,122,middle
50,122,middle
0,6,middle
1,32,middle
2,65,middle
3,95,middle
4,124,middle
5,150,middle
6,176,middle
7,204,middle
8,231,middle
9,261,middle
10,272,middle
11,283,middle
12,297,middle
13,321,middle
14,344,middle
15,366,middle
16,388,middle
17,408,middle
18,426,middle
19,452,middle
20,469,middle
21,487,middle
22,504,middle
23,525,middle
24,548,middle
25,563,middle
26,575,middle
27,583,middle
28,584,middle
29,584,middle
30,584,middle
31,584,middle
32,584,middle
33,584,middle
34,584,middle
35,584,middle
36,584,middle
37,584,middle
38,584,middle
39,584,middle
40,584,middle
41,584,middle
42,584,middle
43,584,middle
44,584,middle
45,584,middle
46,584,middle
47,584,middle
48,584,middle
49,584,middle
50,584,middle
0,7,middle
1,37,middle
2,69,middle
3,98,middle
4,136,middle
5,173,middle
6,212,middle
7,247,middle
8,278,middle
9,306,middle
10,352,middle
11,382,middle
12,411,middle
13,456,middle
14,489,middle
15,510,middle
16,525,middle
17,534,middle
18,537,middle
19,537,middle
20,537,middle
21,537,middle
22,537,middle
23,537,middle
24,537,middle
25,537,middle
26,537,middle
27,537,middle
28,537,middle
29,537,middle
30,537,middle
31,538,middle
32,538,middle
33,538,middle
34,538,middle
35,538,middle
36,538,middle
37,538,middle
38,538,middle
39,538,middle
40,538,middle
41,538,middle
42,538,middle
43,538,middle
44,538,middle
45,538,middle
46,538,middle
47,538,middle
48,538,middle
49,538,middle
50,538,middle
0,14,middle
1,29,middle
2,50,middle
3,74,middle
4,82,middle
5,95,middle
6,105,middle
7,108,middle
8,112,middle
9,117,middle
10,118,middle
11,130,middle
12,143,middle
13,161,middle
14,175,middle
15,196,middle
16,210,middle
17,224,middle
18,233,middle
19,233,middle
20,233,middle
21,233,middle
22,233,middle
23,233,middle
24,233,middle
25,233,middle
26,233,middle
27,233,middle
28,233,middle
29,234,middle
30,234,middle
31,234,middle
32,234,middle
33,234,middle
34,234,middle
35,234,middle
36,234,middle
37,234,middle
38,234,middle
39,234,middle
40,234,middle
41,234,middle
42,234,middle
43,234,middle
44,234,middle
45,234,middle
46,234,middle
47,234,middle
48,234,middle
49,234,middle
50,234,middle
0,2,middle
1,13,middle
2,18,middle
3,27,middle
4,34,middle
5,43,middle
6,53,middle
7,62,middle
8,76,middle
9,90,middle
10,100,middle
11,115,middle
12,126,middle
13,133,middle
14,140,middle
15,148,middle
16,158,middle
17,164,middle
18,182,middle
19,203,middle
20,207,middle
21,207,middle
22,207,middle
23,207,middle
24,207,middle
25,207,middle
26,207,middle
27,207,middle
28,207,middle
29,207,middle
30,207,middle
31,207,middle
32,207,middle
33,207,middle
34,207,middle
35,207,middle
36,207,middle
37,207,middle
38,207,middle
39,207,middle
40,207,middle
41,207,middle
42,207,middle
43,207,middle
44,207,middle
45,207,middle
46,207,middle
47,207,middle
48,207,middle
49,207,middle
50,207,middle
0,3,bottom
1,14,bottom
2,26,bottom
3,34,bottom
4,34,bottom
5,34,bottom
6,34,bottom
7,34,bottom
8,34,bottom
9,34,bottom
10,34,bottom
11,34,bottom
12,34,bottom
13,34,bottom
14,34,bottom
15,34,bottom
16,34,bottom
17,34,bottom
