age,n,group
7,150,middle
8,172,middle
9,183,middle
10,197,middle
11,209,middle
12,227,middle
13,236,middle
14,241,middle
15,242,middle
16,243,middle
17,247,middle
18,249,middle
19,249,middle
20,249,middle
21,249,middle
22,249,middle
23,250,middle
24,250,middle
25,250,middle
26,250,middle
27,250,middle
28,250,middle
29,250,middle
30,250,middle
31,250,middle
32,250,middle
33,250,middle
34,250,middle
35,250,middle
36,250,middle
37,251,middle
38,251,middle
39,251,middle
40,251,middle
41,251,middle
42,251,middle
43,251,middle
44,251,middle
45,251,middle
46,251,middle
47,251,middle
48,251,middle
49,251,middle
50,251,middle
0,4,middle
1,8,middle
2,29,middle
3,49,middle
4,74,middle
5,93,middle
6,120,middle
7,144,middle
8,166,middle
9,192,middle
10,213,middle
11,231,middle
12,241,middle
13,250,middle
14,258,middle
15,263,middle
16,282,middle
17,298,middle
18,316,middle
19,346,middle
20,363,middle
21,382,middle
22,402,middle
23,418,middle
24,436,middle
25,462,middle
26,477,middle
27,500,middle
28,521,middle
29,545,middle
30,556,middle
31,566,middle
32,566,middle
33,566,middle
34,566,middle
35,566,middle
36,566,middle
37,566,middle
38,566,middle
39,566,middle
40,566,middle
41,566,middle
42,566,middle
43,566,middle
44,566,middle
45,566,middle
46,566,middle
47,566,middle
48,566,middle
49,566,middle
50,566,middle
0,1,top
1,1,top
2,1,top
3,1,top
4,1,top
5,1,top
6,1,top
7,1,top
8,1,top
9,1,top
10,1,top
11,1,top
12,1,top
13,1,top
14,1,top
15,1,top
16,1,top
17,1,top
18,1,top
19,1,top
20,1,top
21,1,top
22,1,top
23,1,top
24,1,top
25,1,top
26,1,top
27,1,top
28,1,top
29,6,top
30,15,top
31,23,top
32,34,top
33,44,top
34,53,top
35,66,top
36,76,top
37,90,top
38,104,top
39,118,top
40,132,top
41,147,top
42,157,top
43,168,top
44,183,top
45,196,top
46,208,top
47,218,top
48,220,top
49,221,top
50,221,top
0,11,bottom
1,37,bottom
2,96,bottom
3,136,bottom
4,203,bottom
5,249,bottom
6,272,bottom
7,286,bottom
8,308,bottom
9,323,bottom
10,343,bottom
11,361,bottom
12,382,bottom
13,399,bottom
14,409,bottom
15,409,bottom
16,409,bottom
17,409,bottom
18,409,bottom
19,409,bottom
20,409,bottom
21,409,bottom
22,409,bottom
23,409,bottom
24,409,bottom
25,409,bottom
26,409,bottom
27,409,bottom
28,409,bottom
29,409,bottom
30,409,bottom
31,409,bottom
32,409,bottom
33,409,bottom
34,409,bottom
35,409,bottom
36,409,bottom
37,409,bottom
38,409,bottom
39,409,bottom
40,409,bottom
41,409,bottom
42,409,bottom
43,409,bottom
44,409,bottom
45,409,bottom
46,409,bottom
47,409,bottom
48,409,bottom
49,409,bottom
50,409,bottom
0,1,middle
1,5,middle
2,13,middle
3,18,middle
4,25,middle
5,28,middle
6,32,middle
7,36,middle
8,39,middle
9,39,middle
10,42,middle
11,49,middle
12,53,middle
13,57,middle
14,61,middle
15,70,middle
16,76,middle
17,79,middle
18,84,middle
19,86,middle
20,88,middle
21,90,middle
22,92,middle
23,94,middle
24,104,middle
25,109,middle
26,114,middle
27,117,middle
28,119,middle
29,122,middle
30,124,middle
31,126,middle
32,128,middle
33,128,middle
34,128,middle
35,128,middle
36,128,middle
37,128,middle
38,128,middle
39,128,middle
40,128,middle
41,128,middle
42,128,middle
43,128,middle
44,128,middle
45,128,middle
46,128,middle
47,128,middle
48,128,middle
49,128,middle
50,128,middle
0,45,top
1,114,top
2,186,top
3,262,top
4,320,top
5,400,top
6,466,top
7,547,top
8,614,top
9,700,top
10,776,top
11,855,top
12,928,top
13,1004,top
14,1077,top
15,1160,top
16,1235,top
17,1304,top
18,1384,top
19,1460,top
20,1557,top
21,1636,top
22,1697,top
23,1765,top
24,1823,top
25,1881,top
26,1930,top
27,1986,top
28,2048,top
29,2107,top
30,2150,top
31,2210,top
32,2260,top
33,2263,top
34,2263,top
35,2263,top
36,2263,top
37,2263,top
38,2263,top
39,2263,top
40,2263,top
41,2263,top
42,2263,top
43,2263,top
44,2263,top
45,2263,top
46,2263,top
47,2263,top
48,2263,top
49,2263,top
50,2263,top
0,7,top
1,29,top
2,51,top
3,102,top
4,167,top
5,226,top
6,287,top
7,340,top
8,391,top
9,451,top
10,497,top
11,544,top
12,598,top
13,655,top
14,721,top
15,817,top
16,916,top
17,1007,top
18,1101,top
19,1210,top
20,1314,top
21,1436,top
22,1536,top
23,1650,top
24,1725,top
25,1821,top
26,1876,top
27,1876,top
28,1876,top
29,1876,top
30,1876,top
31,1876,top
32,1876,top
33,1876,top
34,1876,top
35,1876,top
36,1876,top
37,1876,top
38,1876,top
39,1876,top
40,1876,top
41,1876,top
42,1876,top
43,1876,top
44,1876,top
45,1876,top
46,1876,top
47,1876,top
48,1876,top
49,1876,top
50,1876,top
0,8,bottom
1,18,bottom
2,33,bottom
3,39,bottom
4,49,bottom
5,53,bottom
6,61,bottom
7,73,bottom
8,77,bottom
9,79,bottom
10,79,bottom
11,86,bottom
12,89,bottom
13,105,bottom
14,106,bottom
15,111,bottom
16,113,bottom
17,113,bottom
18,114,bottom
19,115,bottom
20,115,bottom
21,115,bottom
22,115,bottom
23,115,bottom
24,115,bottom
25,116,bottom
26,117,bottom
27,117,bottom
28,118,bottom
29,118,bottom
30,121,bottom
31,121,bottom
32,121,bottom
33,121,bottom
34,121,bottom
35,121,bottom
36,121,bottom
37,121,bottom
38,121,bottom
39,121,bottom
40,121,bottom
41,121,bottom
42,121,bottom
43,121,bottom
44,121,bottom
45,121,bottom
46,121,bottom
47,121,bottom
48,121,bottom
49,121,bottom
50,121,bottom
0,6,middle
1,22,middle
2,50,middle
3,68,middle
4,86,middle
5,102,middle
6,137,middle
7,172,middle
8,215,middle
9,263,middle
10,324,middle
11,385,middle
12,442,middle
13,515,middle
14,567,middle
15,610,middle
16,657,middle
17,715,middle
18,757,middle
19,800,middle
20,837,middle
21,864,middle
22,878,middle
23,882,middle
24,885,middle
25,888,middle
26,889,middle
27,890,middle
28,890,middle
29,891,middle
30,892,middle
31,894,middle
32,895,middle
33,895,middle
34,897,middle
35,899,middle
36,900,middle
37,902,middle
38,902,middle
39,902,middle
40,902,middle
41,902,middle
42,902,middle
43,902,middle
44,902,middle
45,902,middle
46,902,middle
47,902,middle
48,902,middle
49,902,middle
50,902,middle
0,13,middle
1,86,middle
2,153,middle
3,213,middle
4,279,middle
5,335,middle
6,386,middle
7,426,middle
8,476,middle
9,503,middle
10,543,middle
11,604,middle
12,649,middle
13,698,middle
14,723,middle
15,761,middle
16,813,middle
17,839,middle
